method,set,parameter,d,n,m,repeats,time_mean_sec,time_std_sec
BMMD,Set1,"(0.05, 0.5)",500,100,100,1,0.0021948290004729643,0.0
BMMD,Set1,"(0.05, 0.5)",1000,100,100,1,0.004005123999377247,0.0
BMMD,Set1,"(0.1, 1.3)",50,100,100,1,0.0005054330003986252,0.0
BMMD,Set1,"(0.1, 1.3)",100,100,100,1,0.000668550999762374,0.0
BMMD,Set1,"(0.1, 1.3)",500,100,100,1,0.0020395760002429597,0.0
BMMD,Set1,"(0.1, 1.3)",1000,100,100,1,0.0037770330000057584,0.0
BMMD,Set1,"(-0.05, 0.6)",50,100,100,1,0.0004907649999950081,0.0
BMMD,Set1,"(-0.05, 0.6)",100,100,100,1,0.0006230150002011214,0.0
BMMD,Set1,"(-0.05, 0.6)",500,100,100,1,0.002051970000138681,0.0
BMMD,Set1,"(-0.05, 0.6)",1000,100,100,1,0.0037350840002545738,0.0
BMMD,Set2,3,50,100,100,1,0.0004751859996758867,0.0
BMMD,Set2,3,100,100,100,1,0.0006532319994221325,0.0
BMMD,Set2,3,500,100,100,1,0.002010582000366412,0.0
BMMD,Set2,3,1000,100,100,1,0.0037559439997494337,0.0
BMMD,Set2,5,50,100,100,1,0.0004547769995042472,0.0
BMMD,Set2,5,100,100,100,1,0.0006634909996137139,0.0
BMMD,Set2,5,500,100,100,1,0.002028656000220508,0.0
BMMD,Set2,5,1000,100,100,1,0.0038016700000298442,0.0
BMMD,Set2,10,50,100,100,1,0.0004979490004188847,0.0
BMMD,Set2,10,100,100,100,1,0.0006494250001196633,0.0
BMMD,Set2,10,500,100,100,1,0.002030339000157255,0.0
BMMD,Set2,10,1000,100,100,1,0.0037863809993723407,0.0
BMMD,Set3,"(-0.05, 0.85)",50,100,100,1,0.0004986409994671703,0.0
BMMD,Set3,"(-0.05, 0.85)",100,100,100,1,0.0006572390002475004,0.0
BMMD,Set3,"(-0.05, 0.85)",500,100,100,1,0.002155895999749191,0.0
BMMD,Set3,"(-0.05, 0.85)",1000,100,100,1,0.004100312999980815,0.0
BMMD,Set3,"(0.0, 1.1)",50,100,100,1,0.0005764879997514072,0.0
BMMD,Set3,"(0.0, 1.1)",100,100,100,1,0.0006904120000399416,0.0
BMMD,Set3,"(0.0, 1.1)",500,100,100,1,0.0021605450001516147,0.0
BMMD,Set3,"(0.0, 1.1)",1000,100,100,1,0.0041961239994634525,0.0
BMMD,Set3,"(0.05, 1.05)",50,100,100,1,0.0005888010000489885,0.0
BMMD,Set3,"(0.05, 1.05)",100,100,100,1,0.0007029660000625881,0.0
BMMD,Set3,"(0.05, 1.05)",500,100,100,1,0.002159001999643806,0.0
BMMD,Set3,"(0.05, 1.05)",1000,100,100,1,0.004222905000460742,0.0
MahalanobisMMD,Set1,"(0.05, 0.5)",50,100,100,1,0.0071122729996204725,0.0
MahalanobisMMD,Set1,"(0.05, 0.5)",100,100,100,1,0.008538523000424902,0.0
MahalanobisMMD,Set1,"(0.05, 0.5)",500,100,100,1,0.02276903200072411,0.0
MahalanobisMMD,Set1,"(0.05, 0.5)",1000,100,100,1,0.040226655999504146,0.0
MahalanobisMMD,Set1,"(0.1, 1.3)",50,100,100,1,0.006924288999471173,0.0
MahalanobisMMD,Set1,"(0.1, 1.3)",100,100,100,1,0.008543713000108255,0.0
MahalanobisMMD,Set1,"(0.1, 1.3)",500,100,100,1,0.022603789999266155,0.0
MahalanobisMMD,Set1,"(0.1, 1.3)",1000,100,100,1,0.03992280200054665,0.0
MahalanobisMMD,Set1,"(-0.05, 0.6)",50,100,100,1,0.006833207000454422,0.0
MahalanobisMMD,Set1,"(-0.05, 0.6)",100,100,100,1,0.008518825999999535,0.0
MahalanobisMMD,Set1,"(-0.05, 0.6)",500,100,100,1,0.022503279999909864,0.0
MahalanobisMMD,Set1,"(-0.05, 0.6)",1000,100,100,1,0.03988121400016098,0.0
MahalanobisMMD,Set2,3,50,100,100,1,0.006983651000155078,0.0
MahalanobisMMD,Set2,3,100,100,100,1,0.00859693399979733,0.0
MahalanobisMMD,Set2,3,500,100,100,1,0.022444689999247203,0.0
MahalanobisMMD,Set2,3,1000,100,100,1,0.03972286499993061,0.0
MahalanobisMMD,Set2,5,50,100,100,1,0.006948284000827698,0.0
MahalanobisMMD,Set2,5,100,100,100,1,0.008629154000118433,0.0
MahalanobisMMD,Set2,5,500,100,100,1,0.02253517000008287,0.0
MahalanobisMMD,Set2,5,1000,100,100,1,0.03984943400064367,0.0
MahalanobisMMD,Set2,10,50,100,100,1,0.00693947699983255,0.0
MahalanobisMMD,Set2,10,100,100,100,1,0.008609427000010328,0.0
MahalanobisMMD,Set2,10,500,100,100,1,0.022504681999635068,0.0
MahalanobisMMD,Set2,10,1000,100,100,1,0.03980207499989774,0.0
MahalanobisMMD,Set3,"(-0.05, 0.85)",50,100,100,1,0.006922755999767105,0.0
MahalanobisMMD,Set3,"(-0.05, 0.85)",100,100,100,1,0.008618144000138273,0.0
MahalanobisMMD,Set3,"(-0.05, 0.85)",500,100,100,1,0.022624077999353176,0.0
MahalanobisMMD,Set3,"(-0.05, 0.85)",1000,100,100,1,0.04053686000042944,0.0
MahalanobisMMD,Set3,"(0.0, 1.1)",50,100,100,1,0.007021772000371129,0.0
MahalanobisMMD,Set3,"(0.0, 1.1)",100,100,100,1,0.008551877999707358,0.0
MahalanobisMMD,Set3,"(0.0, 1.1)",500,100,100,1,0.022604490999583504,0.0
MahalanobisMMD,Set3,"(0.0, 1.1)",1000,100,100,1,0.04106929499994294,0.0
